
Note: No compatibility mode selected!


Circuit: * spicemodels/option-b-encoder.spice

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                          1
pwr                                4.09735e-05
xenc0.b0b                                    1
b0                                           0
xenc0.b1b                                    1
b1                                           0
xenc0.b2b                                    1
b2                                           0
xenc0.xxnor01.t1                             1
xenc0.xxnor01.xn1.n2                         1
xenc0.xxnor01.t2                             1
xenc0.xxnor01.xn2.n1                0.00405617
xenc0.xxnor01.t2b                  5.23892e-09
xenc0.xxnor01.t3                             1
xenc0.xxnor01.xnand.n1                0.658539
xenc0.xnor01                       5.23892e-09
xenc0.xor01                                  1
xenc0.xxnor20.t1                             1
xenc0.xxnor20.xn1.n2                         1
xenc0.xxnor20.t2                             1
xenc0.xxnor20.xn2.n1                0.00405617
xenc0.xxnor20.t2b                  5.23892e-09
xenc0.xxnor20.t3                             1
xenc0.xxnor20.xnand.n1                0.658539
xenc0.xnor20                       5.23892e-09
xenc0.xor20                                  1
xenc0.nb2                                    1
xenc0.np                           7.05798e-09
xenc0.xnandp.n1                    3.52899e-09
xenc0.pos                                    1
xenc0.nb1                                    1
xenc0.nn                           2.09557e-08
xenc0.xnandn.n1                    1.04778e-08
xenc0.neg                                    1
xenc0.nneg                         5.23892e-09
xenc0.ntp                                    1
xenc0.xnandtp.n1                      0.696126
tp0                                5.23892e-09
xenc0.npos                         5.23892e-09
xenc0.ntn                                    1
xenc0.xnandtn.n1                      0.658537
tn0                                5.23892e-09
xenc1.b0b                                    1
xenc1.b1b                                    1
xenc1.b2b                                    1
xenc1.xxnor01.t1                             1
xenc1.xxnor01.xn1.n2                         1
xenc1.xxnor01.t2                             1
xenc1.xxnor01.xn2.n1                0.00405617
xenc1.xxnor01.t2b                  5.23892e-09
xenc1.xxnor01.t3                             1
xenc1.xxnor01.xnand.n1                 0.65854
xenc1.xnor01                       5.23892e-09
xenc1.xor01                                  1
xenc1.xxnor20.t1                             1
xenc1.xxnor20.xn1.n2                         1
xenc1.xxnor20.t2                             1
xenc1.xxnor20.xn2.n1                0.00405617
xenc1.xxnor20.t2b                  5.23892e-09
xenc1.xxnor20.t3                             1
xenc1.xxnor20.xnand.n1                0.658537
xenc1.xnor20                       5.23892e-09
xenc1.xor20                                  1
xenc1.nb2                                    1
xenc1.np                           7.05798e-09
xenc1.xnandp.n1                    3.52899e-09
xenc1.pos                                    1
xenc1.nb1                                    1
xenc1.nn                           2.09557e-08
xenc1.xnandn.n1                    1.04778e-08
xenc1.neg                                    1
xenc1.nneg                         5.23892e-09
xenc1.ntp                                    1
xenc1.xnandtp.n1                      0.696127
tp1                                5.23892e-09
xenc1.npos                         5.23892e-09
xenc1.ntn                                    1
xenc1.xnandtn.n1                      0.658539
tn1                                5.23892e-09
xenc2.b0b                                    1
xenc2.b1b                                    1
xenc2.b2b                                    1
xenc2.xxnor01.t1                             1
xenc2.xxnor01.xn1.n2                         1
xenc2.xxnor01.t2                             1
xenc2.xxnor01.xn2.n1                0.00405617
xenc2.xxnor01.t2b                  5.23892e-09
xenc2.xxnor01.t3                             1
xenc2.xxnor01.xnand.n1                0.658539
xenc2.xnor01                       5.23892e-09
xenc2.xor01                                  1
xenc2.xxnor20.t1                             1
xenc2.xxnor20.xn1.n2                         1
xenc2.xxnor20.t2                             1
xenc2.xxnor20.xn2.n1                0.00405617
xenc2.xxnor20.t2b                  5.23892e-09
xenc2.xxnor20.t3                             1
xenc2.xxnor20.xnand.n1                0.658538
xenc2.xnor20                       5.23892e-09
xenc2.xor20                                  1
xenc2.nb2                                    1
xenc2.np                           7.05798e-09
xenc2.xnandp.n1                    3.52899e-09
xenc2.pos                                    1
xenc2.nb1                                    1
xenc2.nn                           2.09557e-08
xenc2.xnandn.n1                    1.04778e-08
xenc2.neg                                    1
xenc2.nneg                         5.23892e-09
xenc2.ntp                                    1
xenc2.xnandtp.n1                      0.696128
tp2                                5.23892e-09
xenc2.npos                         5.23892e-09
xenc2.ntn                                    1
xenc2.xnandtn.n1                      0.658538
tn2                                5.23892e-09
xenc3.b0b                                    1
xenc3.b1b                                    1
xenc3.b2b                                    1
xenc3.xxnor01.t1                             1
xenc3.xxnor01.xn1.n2                         1
xenc3.xxnor01.t2                             1
xenc3.xxnor01.xn2.n1                0.00405617
xenc3.xxnor01.t2b                  5.23892e-09
xenc3.xxnor01.t3                             1
xenc3.xxnor01.xnand.n1                0.658538
xenc3.xnor01                       5.23892e-09
xenc3.xor01                                  1
xenc3.xxnor20.t1                             1
xenc3.xxnor20.xn1.n2                         1
xenc3.xxnor20.t2                             1
xenc3.xxnor20.xn2.n1                0.00405617
xenc3.xxnor20.t2b                  5.23892e-09
xenc3.xxnor20.t3                             1
xenc3.xxnor20.xnand.n1                0.658541
xenc3.xnor20                       5.23892e-09
xenc3.xor20                                  1
xenc3.nb2                                    1
xenc3.np                           7.05798e-09
xenc3.xnandp.n1                    3.52899e-09
xenc3.pos                                    1
xenc3.nb1                                    1
xenc3.nn                           2.09557e-08
xenc3.xnandn.n1                    1.04778e-08
xenc3.neg                                    1
xenc3.nneg                         5.23892e-09
xenc3.ntp                                    1
xenc3.xnandtp.n1                      0.696126
tp3                                5.23892e-09
xenc3.npos                         5.23892e-09
xenc3.ntn                                    1
xenc3.xnandtn.n1                       0.65854
tn3                                5.23892e-09
xenc4.b0b                                    1
xenc4.b1b                                    1
xenc4.b2b                                    1
xenc4.xxnor01.t1                             1
xenc4.xxnor01.xn1.n2                         1
xenc4.xxnor01.t2                             1
xenc4.xxnor01.xn2.n1                0.00405617
xenc4.xxnor01.t2b                  5.23892e-09
xenc4.xxnor01.t3                             1
xenc4.xxnor01.xnand.n1                 0.65854
xenc4.xnor01                       5.23892e-09
xenc4.xor01                                  1
xenc4.xxnor20.t1                             1
xenc4.xxnor20.xn1.n2                         1
xenc4.xxnor20.t2                             1
xenc4.xxnor20.xn2.n1                0.00405617
xenc4.xxnor20.t2b                  5.23892e-09
xenc4.xxnor20.t3                             1
xenc4.xxnor20.xnand.n1                0.658542
xenc4.xnor20                       5.23892e-09
xenc4.xor20                                  1
xenc4.nb2                                    1
xenc4.np                           7.05798e-09
xenc4.xnandp.n1                    3.52899e-09
xenc4.pos                                    1
xenc4.nb1                                    1
xenc4.nn                           2.09557e-08
xenc4.xnandn.n1                    1.04778e-08
xenc4.neg                                    1
xenc4.nneg                         5.23892e-09
xenc4.ntp                                    1
xenc4.xnandtp.n1                      0.696126
tp4                                5.23892e-09
xenc4.npos                         5.23892e-09
xenc4.ntn                                    1
xenc4.xnandtn.n1                      0.658539
tn4                                5.23892e-09
xenc5.b0b                                    1
xenc5.b1b                                    1
xenc5.b2b                                    1
xenc5.xxnor01.t1                             1
xenc5.xxnor01.xn1.n2                         1
xenc5.xxnor01.t2                             1
xenc5.xxnor01.xn2.n1                0.00405617
xenc5.xxnor01.t2b                  5.23892e-09
xenc5.xxnor01.t3                             1
xenc5.xxnor01.xnand.n1                0.658538
xenc5.xnor01                       5.23892e-09
xenc5.xor01                                  1
xenc5.xxnor20.t1                             1
xenc5.xxnor20.xn1.n2                         1
xenc5.xxnor20.t2                             1
xenc5.xxnor20.xn2.n1                0.00405617
xenc5.xxnor20.t2b                  5.23892e-09
xenc5.xxnor20.t3                             1
xenc5.xxnor20.xnand.n1                 0.65854
xenc5.xnor20                       5.23892e-09
xenc5.xor20                                  1
xenc5.nb2                                    1
xenc5.np                           7.05798e-09
xenc5.xnandp.n1                    3.52899e-09
xenc5.pos                                    1
xenc5.nb1                                    1
xenc5.nn                           2.09557e-08
xenc5.xnandn.n1                    1.04778e-08
xenc5.neg                                    1
xenc5.nneg                         5.23892e-09
xenc5.ntp                                    1
xenc5.xnandtp.n1                      0.696128
tp5                                5.23892e-09
xenc5.npos                         5.23892e-09
xenc5.ntn                                    1
xenc5.xnandtn.n1                      0.658539
tn5                                5.23892e-09
xenc6.b0b                                    1
xenc6.b1b                                    1
xenc6.b2b                                    1
xenc6.xxnor01.t1                             1
xenc6.xxnor01.xn1.n2                         1
xenc6.xxnor01.t2                             1
xenc6.xxnor01.xn2.n1                0.00405617
xenc6.xxnor01.t2b                  5.23892e-09
xenc6.xxnor01.t3                             1
xenc6.xxnor01.xnand.n1                0.658542
